barcode,collector,overflow_capacity,last_reading_date,tank_type_label,tank_type_id,nominal_capacity,container_type_label,tank_name,key_maker,container_type_id,tank_status_label,current_volume,id,tank_status_id,fill_level
2022-F.W-00170,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-30 23:40:20,,0,70.00,Type 4 - 83 litres - Plastique,Edgar,f4e91fcb6b3db7a76efe81cecee7c4dd,18,En service,51.49,22fd859867bc26808496a82ae77fa36b,3001,62.04
2022-F.W-00055,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:13:09,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Nona,6dc4dfd307efc1a20b3df12eb6c94c74,18,En service,34.34,2cfc21d05e0116624b3147434ad79d1a,3001,41.37
2022-F.W-00066,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 13:00:04,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Solène,2792fccbc5552adc257f265fec59ec35,18,En service,3.05,7a5ead00143564f987ecc5752e869393,3001,3.67
2022-F.W-00045,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:11:53,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Marie-Jo,5661b8d5d402e93b709a174360073163,18,En service,2.57,660e50654d678eabeff0e975cf38c34b,3001,3.10
2022-F.W-00053,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:35:05,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Nathalie,df12337ba8b4f72f436ec0c958573f0c,18,En service,30.40,1c568d60fc1d72ff4b8ff4b051bcdf05,3001,36.63
2022-F.W-00059,18435351e5ed4efccfbbb896d5e80925,83.00,2023-12-30 23:24:12,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Orzra,fc67184a1e186ff8f71ab47161cb9347,18,En service,39.44,96536ceb2a13ee6812c340abbd886069,3001,47.52
2022-F.W-00041,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:20:05,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Lucette,a8a3756dbe8871eaaab710b904cd77b2,18,En service,19.58,2b34bffad14939ae2fc4cf34a4bbf742,3001,23.59
2022-F.W-00214,18435351e5ed4efccfbbb896d5e80925,213.00,2024-02-01 14:56:04,,0,200.00,Type 7 - 200 litres - Inox,Sarah,74279d630f743a49c508dae30544ce82,1369,En service,28.97,10b67ae0511bc94f0d8a72970c534fcb,3001,13.60
2022-F.W-00018,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:16:51,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Alain,3da16163a795b302be592423c6af6208,18,En service,49.41,e498503448d11371ede1904c30d02912,3001,59.53
2022-F.W-00072,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:11:38,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Valérie,99df482f7575875e2efc76f8f3478d55,18,En service,37.81,fdada023fa39ed101bd173436b48002f,3001,45.55
2022-F.W-00071,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:13:09,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Vako,fc8dba39cc6d7403e8e2a3197a272d94,18,En service,47.60,c6889d2c429c8bfc80a1afd1a128d52b,3001,57.35
2022-F.W-00069,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:28:19,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Thidak,239009528cb577ec203ba260a2990062,18,En service,56.64,9c1855cf0205ab369cf31834c4727d4c,3001,68.24
2022-F.W-00017,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 12:10:58,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Résistance,b687ce404caf40af7593ed7e2fd2ea77,18,En service,1.93,a42fab1f0c9efe5c8bd7d6926cf7549f,3001,2.33
2022-F.W-00133,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:10:00,,0,70.00,Type 4 - 83 litres - Plastique,Rasel,613925fac367511542883da6b4416e70,18,En service,2.57,1160b141ec821e05a36b4a5073fe97f4,3001,3.10
2022-F.W-00026,18435351e5ed4efccfbbb896d5e80925,83.00,2023-09-27 14:22:55,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Eliette,ef319cf59cf3e3cdb687e60bc6ac9f22,18,En service,7.57,5cae52d608721e6a02064f5b7a21ea07,3001,9.12
2022-F.W-00121,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:15:40,,0,70.00,Type 4 - 83 litres - Plastique,Émilie,ab4821d6017bc501f84e0e0db2937073,18,En service,51.49,824327d0265f353932815b45df1070af,3001,62.04
2022-F.W-00037,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:22:34,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Lakbek,a32b19441d069e4ae7f94274eb88cac5,18,En service,50.14,994ec8a41cf55842392bb1721508a1f6,3001,60.41
2022-F.W-00047,18435351e5ed4efccfbbb896d5e80925,83.00,2023-10-11 08:55:44,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Max,2d01d7e2da956f6aba1931d742e3838e,18,En service,0.00,f3c87a5c4a8dde7131132a435bbdaf92,3001,0.00
2022-F.W-00061,18435351e5ed4efccfbbb896d5e80925,83.00,2024-02-01 10:46:52,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Peggy,46c55760d1dc45629a3d19dda58f67d5,18,En service,29.00,22345c1890c88f24b367c6f643d4f09f,3001,34.94
2022-F.W-00028,18435351e5ed4efccfbbb896d5e80925,83.00,2024-01-31 23:29:54,Cuve fixe (maker),3275,70.00,Type 4 - 83 litres - Plastique,Erna,eb0310b3507a8b9a5bea87c3df5b02af,18,En service,8.64,56f1540d08db911ab9ebeacd9eabcd8d,3001,10.41
